file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098765.2.fastq.gz	FASTQ	DNA	53411	10074520	20	188.6	300	177.0	194.0	212.0	0	197	93	91.48	79.20	21.26	47.00	0
SRR5098767.1.fastq.gz	FASTQ	DNA	87350	22839680	24	261.5	300	239.0	274.0	297.0	0	276	25	95.18	86.49	24.14	46.99	0
SRR5098767.2.fastq.gz	FASTQ	DNA	87350	17239747	20	197.4	300	185.0	205.0	218.0	0	206	69	95.28	85.92	23.31	48.06	0
SRR5098768.1.fastq.gz	FASTQ	DNA	15683	4317754	33	275.3	300	277.0	290.0	299.0	0	293	8	95.13	87.58	23.74	42.05	0
SRR5098768.2.fastq.gz	FASTQ	DNA	15683	3016762	20	192.4	299	184.0	195.0	208.0	0	197	92	92.46	81.04	21.81	41.65	0
SRR5098769.1.fastq.gz	FASTQ	DNA	24409	5874399	29	240.7	300	217.0	264.0	285.0	0	276	25	94.85	86.40	23.80	46.89	0
SRR5098769.2.fastq.gz	FASTQ	DNA	24409	4224776	20	173.1	283	162.0	185.0	203.0	0	192	69	94.57	84.37	22.80	47.41	0
SRR5098770.1.fastq.gz	FASTQ	DNA	7220	1977539	44	273.9	300	272.0	293.0	300.0	0	295	6	95.15	86.60	23.58	51.23	0
SRR5098770.2.fastq.gz	FASTQ	DNA	7220	1395973	20	193.3	299	180.0	200.0	220.0	0	207	75	91.46	79.12	21.17	51.52	0
SRR5098771.1.fastq.gz	FASTQ	DNA	2576	514245	65	199.6	300	92.0	240.5	285.0	0	272	28	94.96	86.00	23.80	40.37	0
SRR5098771.2.fastq.gz	FASTQ	DNA	2576	401801	35	156.0	270	84.0	197.5	215.0	0	210	39	96.07	87.59	23.97	40.59	0
SRR5098772.1.fastq.gz	FASTQ	DNA	21170	4960183	27	234.3	300	209.0	260.0	286.0	0	275	26	94.65	85.59	23.66	52.91	0
SRR5098772.2.fastq.gz	FASTQ	DNA	21170	3567695	20	168.5	300	153.0	182.0	199.0	0	189	64	94.72	84.86	22.98	52.12	0
SRR5098773.1.fastq.gz	FASTQ	DNA	6248	1746005	70	279.5	300	278.0	294.0	300.0	0	295	6	95.22	87.46	23.80	45.81	0
SRR5098773.2.fastq.gz	FASTQ	DNA	6248	1175702	20	188.2	300	177.0	192.0	210.0	0	196	85	91.34	78.66	21.19	47.14	0
SRR5098775.1.fastq.gz	FASTQ	DNA	1869	333579	30	178.5	300	85.0	186.0	267.0	0	237	58	93.71	83.54	23.01	52.56	0
SRR5098775.2.fastq.gz	FASTQ	DNA	1869	264564	22	141.6	266	69.0	167.0	197.0	0	190	53	95.20	86.91	23.66	55.39	0
SRR5098776.1.fastq.gz	FASTQ	DNA	49875	13807022	30	276.8	300	275.0	294.0	300.0	0	295	6	95.16	86.15	23.49	57.99	0
SRR5098776.2.fastq.gz	FASTQ	DNA	49875	9203253	20	184.5	300	176.0	192.0	211.0	0	195	90	90.88	77.02	20.83	57.95	0
SRR5098777.1.fastq.gz	FASTQ	DNA	7192	1681434	25	233.8	300	205.0	260.0	284.0	0	276	25	94.42	85.56	23.49	49.67	0
SRR5098777.2.fastq.gz	FASTQ	DNA	7192	1210629	20	168.3	286	148.0	183.0	199.0	0	189	56	94.09	83.53	22.50	48.89	0
SRR5098778.1.fastq.gz	FASTQ	DNA	1979	557589	75	281.8	300	281.0	297.0	300.0	0	299	2	95.64	87.97	24.14	44.49	0
SRR5098778.2.fastq.gz	FASTQ	DNA	1979	422853	24	213.7	300	188.0	221.0	241.0	0	226	66	92.73	81.72	21.89	42.33	0
SRR5098779.1.fastq.gz	FASTQ	DNA	35041	9153338	26	261.2	300	245.0	276.0	287.0	0	278	23	95.00	85.99	23.89	46.66	0
SRR5098779.2.fastq.gz	FASTQ	DNA	35041	6761982	21	193.0	300	180.0	198.0	216.0	0	202	87	94.53	84.17	22.86	47.72	0
SRR5098780.1.fastq.gz	FASTQ	DNA	15408	3976156	40	258.1	300	238.0	264.0	286.0	0	273	28	94.73	84.83	23.80	52.94	0
SRR5098780.2.fastq.gz	FASTQ	DNA	15408	2721105	21	176.6	267	159.0	183.0	198.0	0	188	61	93.44	82.17	22.16	51.87	0
SRR5098781.1.fastq.gz	FASTQ	DNA	4416	1203719	74	272.6	300	268.0	295.0	300.0	0	295	6	95.76	88.33	24.22	48.58	0
SRR5098781.2.fastq.gz	FASTQ	DNA	4416	873628	22	197.8	287	183.0	206.0	222.0	0	214	60	92.50	81.18	21.72	49.02	0
SRR5098782.1.fastq.gz	FASTQ	DNA	7644	2130129	29	278.7	300	277.0	294.0	299.0	0	294	7	95.24	87.44	23.83	45.31	0
SRR5098782.2.fastq.gz	FASTQ	DNA	7644	1531047	20	200.3	292	185.0	202.0	224.0	0	204	83	92.47	80.87	21.76	45.32	0
