"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769a_ITS2_ASV1","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Agaricus","s__bisporus"
"PRJNA356769a_ITS2_ASV164","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__versicolor"
"PRJNA356769a_ITS2_ASV38","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__subtomentosum"
