"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769a_ITS2_ASV161","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA
"PRJNA356769a_ITS2_ASV163","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Neodevriesiaceae","g__Neodevriesia","s__kalakoutskii"
"PRJNA356769a_ITS2_ASV166","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__xenobiotica"
"PRJNA356769a_ITS2_ASV167","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces","s__rugulosus"
"PRJNA356769a_ITS2_ASV169","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__niger"
"PRJNA356769a_ITS2_ASV17","k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Wallemiales","f__Wallemiaceae","g__Wallemia","s__sebi"
"PRJNA356769a_ITS2_ASV171","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Sarcinomyces",NA
"PRJNA356769a_ITS2_ASV173","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__phyllophilum"
"PRJNA356769a_ITS2_ASV175","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__membranifaciens"
"PRJNA356769a_ITS2_ASV176","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium","s__halotolerans"
"PRJNA356769a_ITS2_ASV177","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus",NA
"PRJNA356769a_ITS2_ASV180","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae",NA,NA
"PRJNA356769a_ITS2_ASV181","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe",NA
"PRJNA356769a_ITS2_ASV182","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__polonicum"
"PRJNA356769a_ITS2_ASV183","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__dermatis"
"PRJNA356769a_ITS2_ASV184","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769a_ITS2_ASV186","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__fermentans"
"PRJNA356769a_ITS2_ASV187","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__sake"
"PRJNA356769a_ITS2_ASV188","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Stenocarpella","s__maydis"
"PRJNA356769a_ITS2_ASV55","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Zasmidium",NA
"PRJNA356769a_ITS2_ASV191","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces",NA
"PRJNA356769a_ITS2_ASV192","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon","s__middelhovenii"
"PRJNA356769a_ITS2_ASV194","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","s__vesicarium"
"PRJNA356769a_ITS2_ASV24","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Hanseniaspora","s__valbyensis"
"PRJNA356769a_ITS2_ASV27","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Sarocladium","s__kiliense"
"PRJNA356769a_ITS2_ASV29","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__asiaticum"
"PRJNA356769a_ITS2_ASV3","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__solani"
"PRJNA356769a_ITS2_ASV32","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Thermoascaceae","g__Paecilomyces","s__variotii"
"PRJNA356769a_ITS2_ASV33","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Acremonium","s__fusidioides"
"PRJNA356769a_ITS2_ASV4","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Valsariales","f__Valsariaceae","g__Valsaria","s__insitiva"
"PRJNA356769a_ITS2_ASV46","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__clavatophorus"
"PRJNA356769a_ITS2_ASV47","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Nakaseomyces","s__glabratus"
"PRJNA356769a_ITS2_ASV5","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Wiesneriomycetaceae","g__Spissiomyces",NA
"PRJNA356769a_ITS2_ASV60","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"PRJNA356769a_ITS2_ASV65","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"PRJNA356769a_ITS2_ASV7","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__rugulosus"
"PRJNA356769a_ITS2_ASV71","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces",NA
"PRJNA356769a_ITS2_ASV73","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__arunalokei"
"PRJNA356769a_ITS2_ASV75","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Sarocladium","s__bifurcatum"
"PRJNA356769a_ITS2_ASV76","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"PRJNA356769a_ITS2_ASV8","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Saccharomycodes","s__ludwigii"
"PRJNA356769a_ITS2_ASV83","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Aplosporellaceae","g__Aplosporella","s__thailandica"
"PRJNA356769a_ITS2_ASV87","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__penicillioides"
"PRJNA356769a_ITS2_ASV88","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__mandshurica"
"PRJNA356769a_ITS2_ASV91","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769a_ITS2_ASV93","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__restrictus"
"PRJNA356769a_ITS2_ASV99","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Allophoma","s__tropica"
