file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098537.2.fastq.gz	FASTQ	DNA	8728	2618400	300	300.0	300	300.0	300.0	300.0	0	300	1	59.19	51.57	6.41	50.67	29
SRR5098538.1.fastq.gz	FASTQ	DNA	9295	2788500	300	300.0	300	300.0	300.0	300.0	0	300	1	82.71	74.80	10.81	42.52	0
SRR5098538.2.fastq.gz	FASTQ	DNA	9295	2788500	300	300.0	300	300.0	300.0	300.0	0	300	1	57.40	50.58	6.04	40.68	376
SRR5098539.1.fastq.gz	FASTQ	DNA	69880	20964000	300	300.0	300	300.0	300.0	300.0	0	300	1	82.99	74.71	10.82	48.11	16
SRR5098539.2.fastq.gz	FASTQ	DNA	69880	20964000	300	300.0	300	300.0	300.0	300.0	0	300	1	62.79	55.52	6.64	47.24	6075
SRR5098540.1.fastq.gz	FASTQ	DNA	21077	6323100	300	300.0	300	300.0	300.0	300.0	0	300	1	79.60	71.17	9.88	52.30	1
SRR5098540.2.fastq.gz	FASTQ	DNA	21077	6323100	300	300.0	300	300.0	300.0	300.0	0	300	1	58.48	51.72	6.15	53.23	1660
SRR5098541.1.fastq.gz	FASTQ	DNA	48055	14416500	300	300.0	300	300.0	300.0	300.0	0	300	1	82.29	74.33	10.61	42.20	4
SRR5098541.2.fastq.gz	FASTQ	DNA	48055	14416500	300	300.0	300	300.0	300.0	300.0	0	300	1	62.05	54.68	6.57	41.44	4218
SRR5098542.1.fastq.gz	FASTQ	DNA	6024	1807200	300	300.0	300	300.0	300.0	300.0	0	300	1	87.37	80.62	12.28	47.15	178
SRR5098542.2.fastq.gz	FASTQ	DNA	6024	1807200	300	300.0	300	300.0	300.0	300.0	0	300	1	62.65	55.18	6.77	49.54	175
SRR5098543.1.fastq.gz	FASTQ	DNA	16575	4972500	300	300.0	300	300.0	300.0	300.0	0	300	1	87.29	79.47	12.55	51.20	155
SRR5098543.2.fastq.gz	FASTQ	DNA	16575	4972500	300	300.0	300	300.0	300.0	300.0	0	300	1	58.39	50.78	6.29	53.76	194
SRR5098544.1.fastq.gz	FASTQ	DNA	35223	10566900	300	300.0	300	300.0	300.0	300.0	0	300	1	59.07	53.66	6.21	39.50	6
SRR5098544.2.fastq.gz	FASTQ	DNA	35223	10566900	300	300.0	300	300.0	300.0	300.0	0	300	1	43.24	39.21	4.61	42.47	5322
SRR5098545.1.fastq.gz	FASTQ	DNA	2837	851100	300	300.0	300	300.0	300.0	300.0	0	300	1	87.49	80.39	12.75	42.22	60
SRR5098545.2.fastq.gz	FASTQ	DNA	2837	851100	300	300.0	300	300.0	300.0	300.0	0	300	1	57.88	50.58	6.22	42.00	74
SRR5098546.1.fastq.gz	FASTQ	DNA	13131	3939300	300	300.0	300	300.0	300.0	300.0	0	300	1	81.48	72.87	10.41	47.99	8
SRR5098546.2.fastq.gz	FASTQ	DNA	13131	3939300	300	300.0	300	300.0	300.0	300.0	0	300	1	58.87	52.22	6.19	48.65	950
SRR5098547.1.fastq.gz	FASTQ	DNA	662	198600	300	300.0	300	300.0	300.0	300.0	0	300	1	67.08	61.68	7.26	37.80	1
