file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098515.2.fastq.gz	FASTQ	DNA	13552	2967889	219	219.0	220	219.0	219.0	219.0	0	219	2	79.85	72.80	9.72	41.96	0
SRR5098516.2.fastq.gz	FASTQ	DNA	7965	2142585	269	269.0	269	269.0	269.0	269.0	0	269	1	54.87	47.59	5.76	39.97	0
SRR5098517.2.fastq.gz	FASTQ	DNA	29848	8029116	269	269.0	270	269.0	269.0	269.0	0	269	2	52.78	45.49	5.55	37.64	0
SRR5098518.2.fastq.gz	FASTQ	DNA	6991	1880581	269	269.0	270	269.0	269.0	269.0	0	269	2	56.94	49.63	5.99	42.35	0
SRR5098519.2.fastq.gz	FASTQ	DNA	1046	281374	269	269.0	269	269.0	269.0	269.0	0	269	1	54.07	46.55	5.81	39.83	0
SRR5098520.2.fastq.gz	FASTQ	DNA	27458	7386208	269	269.0	270	269.0	269.0	269.0	0	269	2	54.69	47.41	5.74	38.86	0
SRR5098521.2.fastq.gz	FASTQ	DNA	6898	1855562	269	269.0	269	269.0	269.0	269.0	0	269	1	60.14	52.41	6.34	41.45	0
SRR5098522.2.fastq.gz	FASTQ	DNA	385	103565	269	269.0	269	269.0	269.0	269.0	0	269	1	65.33	56.22	7.29	40.40	0
SRR5098523.2.fastq.gz	FASTQ	DNA	2120	570281	269	269.0	270	269.0	269.0	269.0	0	269	2	55.04	46.77	6.04	42.16	0
SRR5098524.2.fastq.gz	FASTQ	DNA	5058	1107703	219	219.0	220	219.0	219.0	219.0	0	219	2	85.03	77.50	11.29	42.17	0
SRR5098526.2.fastq.gz	FASTQ	DNA	17706	4762891	242	269.0	270	269.0	269.0	269.0	0	269	2	55.63	47.91	5.86	38.64	0
SRR5098527.2.fastq.gz	FASTQ	DNA	1855	498995	269	269.0	269	269.0	269.0	269.0	0	269	1	53.67	46.10	5.66	38.41	0
SRR5098529.2.fastq.gz	FASTQ	DNA	11	2959	269	269.0	269	269.0	269.0	269.0	0	269	1	29.50	23.76	3.90	47.21	0
SRR5098531.2.fastq.gz	FASTQ	DNA	17	4574	269	269.1	270	269.0	269.0	269.0	0	269	2	23.15	18.54	3.40	50.68	0
SRR5098533.2.fastq.gz	FASTQ	DNA	17342	3797902	219	219.0	220	219.0	219.0	219.0	0	219	2	85.46	77.26	11.66	46.90	0
SRR5098534.2.fastq.gz	FASTQ	DNA	6485	1744466	269	269.0	270	269.0	269.0	269.0	0	269	2	60.74	52.79	6.45	41.35	0
SRR5098535.2.fastq.gz	FASTQ	DNA	11947	3213744	269	269.0	270	269.0	269.0	269.0	0	269	2	58.26	50.25	6.30	40.15	0
SRR5098536.2.fastq.gz	FASTQ	DNA	1089	292941	269	269.0	269	269.0	269.0	269.0	0	269	1	59.20	49.59	6.60	42.16	0
SRR5098537.2.fastq.gz	FASTQ	DNA	2121	570549	269	269.0	269	269.0	269.0	269.0	0	269	1	52.88	45.00	5.75	40.96	0
SRR5098538.2.fastq.gz	FASTQ	DNA	6605	1776746	269	269.0	270	269.0	269.0	269.0	0	269	2	55.91	48.31	5.89	37.89	0
SRR5098539.2.fastq.gz	FASTQ	DNA	66428	17869145	269	269.0	271	269.0	269.0	269.0	0	269	3	59.40	51.47	6.25	47.58	0
SRR5098540.2.fastq.gz	FASTQ	DNA	7946	2137478	269	269.0	270	269.0	269.0	269.0	0	269	2	61.83	53.18	6.58	42.71	0
SRR5098541.2.fastq.gz	FASTQ	DNA	35051	9428724	269	269.0	270	269.0	269.0	269.0	0	269	2	61.93	53.30	6.59	36.40	0
SRR5098542.2.fastq.gz	FASTQ	DNA	802	215738	269	269.0	269	269.0	269.0	269.0	0	269	1	54.26	46.50	5.87	40.57	0
SRR5098543.2.fastq.gz	FASTQ	DNA	3558	957102	269	269.0	269	269.0	269.0	269.0	0	269	1	56.22	48.17	6.09	40.94	0
SRR5098544.2.fastq.gz	FASTQ	DNA	10007	2691884	269	269.0	270	269.0	269.0	269.0	0	269	2	56.44	48.63	5.96	40.83	0
SRR5098545.2.fastq.gz	FASTQ	DNA	2415	649635	269	269.0	269	269.0	269.0	269.0	0	269	1	54.11	46.20	5.85	39.93	0
SRR5098546.2.fastq.gz	FASTQ	DNA	4972	1337470	269	269.0	270	269.0	269.0	269.0	0	269	2	60.30	52.42	6.38	40.98	0
SRR5098547.2.fastq.gz	FASTQ	DNA	415	111635	269	269.0	269	269.0	269.0	269.0	0	269	1	52.15	44.19	5.64	39.30	0
SRR5098548.2.fastq.gz	FASTQ	DNA	15699	4223032	269	269.0	270	269.0	269.0	269.0	0	269	2	60.53	52.28	6.63	46.99	0
SRR5098549.2.fastq.gz	FASTQ	DNA	13868	3730497	269	269.0	270	269.0	269.0	269.0	0	269	2	100.00	100.00	30.00	44.95	0
SRR5098550.2.fastq.gz		DNA	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098551.2.fastq.gz	FASTQ	DNA	1589	427441	269	269.0	269	269.0	269.0	269.0	0	269	1	53.27	45.97	5.60	37.91	0
SRR5098554.2.fastq.gz	FASTQ	DNA	6797	1828393	269	269.0	269	269.0	269.0	269.0	0	269	1	55.70	47.90	6.01	40.50	0
SRR5098555.2.fastq.gz	FASTQ	DNA	16831	3685991	219	219.0	220	219.0	219.0	219.0	0	219	2	88.45	79.82	13.11	49.08	0
SRR5098556.2.fastq.gz	FASTQ	DNA	7	1883	269	269.0	269	269.0	269.0	269.0	0	269	1	44.82	39.41	4.91	42.54	0
SRR5098557.2.fastq.gz	FASTQ	DNA	12936	3479791	269	269.0	270	269.0	269.0	269.0	0	269	2	57.88	50.74	6.08	44.76	0
SRR5098558.2.fastq.gz	FASTQ	DNA	1001	269269	269	269.0	269	269.0	269.0	269.0	0	269	1	48.76	41.65	5.21	38.68	0
SRR5098559.2.fastq.gz	FASTQ	DNA	39105	10519252	269	269.0	270	269.0	269.0	269.0	0	269	2	56.57	48.97	5.95	40.36	0
SRR5098560.2.fastq.gz	FASTQ	DNA	52098	14014366	269	269.0	270	269.0	269.0	269.0	0	269	2	52.92	45.62	5.57	37.61	0
SRR5098561.2.fastq.gz	FASTQ	DNA	5075	1365175	269	269.0	269	269.0	269.0	269.0	0	269	1	59.37	50.99	6.46	41.81	0
SRR5098564.2.fastq.gz	FASTQ	DNA	59310	15954401	269	269.0	271	269.0	269.0	269.0	0	269	3	59.07	51.15	6.23	40.66	0
SRR5098565.2.fastq.gz	FASTQ	DNA	28582	7688562	269	269.0	270	269.0	269.0	269.0	0	269	2	53.01	45.76	5.58	37.65	0
SRR5098566.2.fastq.gz	FASTQ	DNA	17143	4611469	269	269.0	270	269.0	269.0	269.0	0	269	2	60.80	52.05	6.65	42.21	0
SRR5098568.2.fastq.gz	FASTQ	DNA	818	220042	269	269.0	269	269.0	269.0	269.0	0	269	1	55.96	48.07	6.13	49.27	0
SRR5098569.2.fastq.gz	FASTQ	DNA	9179	2469152	269	269.0	270	269.0	269.0	269.0	0	269	2	60.40	52.26	6.39	41.99	0
SRR5098571.2.fastq.gz	FASTQ	DNA	10228	2751333	269	269.0	270	269.0	269.0	269.0	0	269	2	53.10	45.86	5.59	37.86	0
SRR5098572.2.fastq.gz	FASTQ	DNA	1441	387629	269	269.0	269	269.0	269.0	269.0	0	269	1	55.75	47.88	6.02	40.23	0
SRR5098573.2.fastq.gz	FASTQ	DNA	3257	876134	269	269.0	270	269.0	269.0	269.0	0	269	2	56.63	48.23	6.20	43.74	0
SRR5098574.2.fastq.gz	FASTQ	DNA	24010	6458692	269	269.0	270	269.0	269.0	269.0	0	269	2	52.48	45.04	5.54	37.54	0
SRR5098575.2.fastq.gz	FASTQ	DNA	29902	8043643	269	269.0	271	269.0	269.0	269.0	0	269	3	56.56	48.67	6.11	40.12	0
SRR5098576.2.fastq.gz	FASTQ	DNA	4426	1190594	269	269.0	269	269.0	269.0	269.0	0	269	1	54.48	47.31	5.75	56.77	0
SRR5098577.2.fastq.gz	FASTQ	DNA	5678	1527382	269	269.0	269	269.0	269.0	269.0	0	269	1	54.32	47.04	5.70	37.87	0
SRR5098578.2.fastq.gz	FASTQ	DNA	12	3228	269	269.0	269	269.0	269.0	269.0	0	269	1	20.66	14.56	3.45	51.36	0
SRR5098579.2.fastq.gz	FASTQ	DNA	3656	983464	269	269.0	269	269.0	269.0	269.0	0	269	1	55.35	48.09	5.81	39.69	0
SRR5098580.2.fastq.gz	FASTQ	DNA	1	269	269	269.0	269	269.0	269.0	269.0	0	269	1	42.75	28.25	5.23	53.90	0
SRR5098581.2.fastq.gz	FASTQ	DNA	3893	1047218	269	269.0	270	269.0	269.0	269.0	0	269	2	52.96	45.09	5.62	38.74	0
SRR5098582.2.fastq.gz	FASTQ	DNA	55740	14994067	269	269.0	271	269.0	269.0	269.0	0	269	3	52.97	45.64	5.57	37.82	0
SRR5098583.2.fastq.gz	FASTQ	DNA	29313	7885199	269	269.0	270	269.0	269.0	269.0	0	269	2	53.55	46.18	5.63	37.74	0
SRR5098584.2.fastq.gz	FASTQ	DNA	277	74513	269	269.0	269	269.0	269.0	269.0	0	269	1	59.39	52.08	6.26	44.15	0
SRR5098586.2.fastq.gz	FASTQ	DNA	6560	1764645	269	269.0	270	269.0	269.0	269.0	0	269	2	59.09	52.26	6.21	46.49	0
SRR5098588.2.fastq.gz	FASTQ	DNA	9913	2170947	219	219.0	219	219.0	219.0	219.0	0	219	1	82.04	74.87	10.33	40.70	0
SRR5098589.2.fastq.gz	FASTQ	DNA	3601	968669	269	269.0	269	269.0	269.0	269.0	0	269	1	56.92	48.86	6.03	42.84	0
SRR5098590.2.fastq.gz	FASTQ	DNA	10251	2757519	269	269.0	269	269.0	269.0	269.0	0	269	1	59.00	52.19	6.18	46.82	0
SRR5098591.2.fastq.gz	FASTQ	DNA	1871	503299	269	269.0	269	269.0	269.0	269.0	0	269	1	56.76	48.58	6.00	38.88	0
SRR5098592.2.fastq.gz	FASTQ	DNA	1594	428786	269	269.0	269	269.0	269.0	269.0	0	269	1	59.30	51.16	6.47	45.38	0
SRR5098593.2.fastq.gz	FASTQ	DNA	22821	6138850	269	269.0	270	269.0	269.0	269.0	0	269	2	58.21	50.05	6.32	40.83	0
SRR5098594.2.fastq.gz	FASTQ	DNA	2082	560058	269	269.0	269	269.0	269.0	269.0	0	269	1	59.65	52.53	6.27	45.01	0
SRR5098595.2.fastq.gz	FASTQ	DNA	3800	1022202	269	269.0	270	269.0	269.0	269.0	0	269	2	63.23	54.17	7.03	45.71	0
SRR5098596.2.fastq.gz	FASTQ	DNA	11335	3049118	269	269.0	270	269.0	269.0	269.0	0	269	2	62.08	54.65	6.57	44.19	0
SRR5098597.2.fastq.gz	FASTQ	DNA	17326	4660697	269	269.0	270	269.0	269.0	269.0	0	269	2	58.88	50.77	6.22	39.23	0
SRR5098598.2.fastq.gz	FASTQ	DNA	47788	12854976	269	269.0	271	269.0	269.0	269.0	0	269	3	55.04	47.32	5.80	39.08	0
SRR5098599.2.fastq.gz	FASTQ	DNA	17484	4703197	269	269.0	270	269.0	269.0	269.0	0	269	2	56.71	48.98	5.98	43.45	0
SRR5098600.2.fastq.gz	FASTQ	DNA	35829	9638003	269	269.0	270	269.0	269.0	269.0	0	269	2	53.27	45.92	5.60	38.34	0
SRR5098601.2.fastq.gz	FASTQ	DNA	27105	7291247	269	269.0	270	269.0	269.0	269.0	0	269	2	57.70	49.64	6.25	41.55	0
SRR5098602.2.fastq.gz	FASTQ	DNA	41559	11179375	269	269.0	270	269.0	269.0	269.0	0	269	2	53.04	45.69	5.58	37.74	0
SRR5098603.2.fastq.gz	FASTQ	DNA	7235	1946215	269	269.0	269	269.0	269.0	269.0	0	269	1	57.43	49.23	6.23	42.73	0
SRR5098604.2.fastq.gz	FASTQ	DNA	42873	11532839	269	269.0	270	269.0	269.0	269.0	0	269	2	52.82	45.47	5.56	37.68	0
SRR5098605.2.fastq.gz	FASTQ	DNA	1786	480435	269	269.0	270	269.0	269.0	269.0	0	269	2	49.68	41.37	5.56	49.02	0
SRR5098606.2.fastq.gz	FASTQ	DNA	90	24210	269	269.0	269	269.0	269.0	269.0	0	269	1	53.28	45.50	5.74	39.81	0
SRR5098607.2.fastq.gz	FASTQ	DNA	294253	79154129	269	269.0	271	269.0	269.0	269.0	0	269	3	60.84	51.60	6.62	50.60	0
SRR5098609.2.fastq.gz	FASTQ	DNA	897	241293	269	269.0	269	269.0	269.0	269.0	0	269	1	59.23	51.01	6.49	48.68	0
SRR5098610.2.fastq.gz	FASTQ	DNA	54770	14733141	269	269.0	270	269.0	269.0	269.0	0	269	2	62.00	54.64	6.56	44.18	0
SRR5098611.2.fastq.gz	FASTQ	DNA	3311	890659	269	269.0	269	269.0	269.0	269.0	0	269	1	49.90	41.94	5.48	43.18	0
SRR5098613.2.fastq.gz	FASTQ	DNA	1531	411839	269	269.0	269	269.0	269.0	269.0	0	269	1	51.55	44.32	5.43	37.38	0
SRR5098614.2.fastq.gz	FASTQ	DNA	45147	12144548	269	269.0	271	269.0	269.0	269.0	0	269	3	53.87	46.42	5.67	38.46	0
SRR5098668.2.fastq.gz	FASTQ	DNA	17264	4644016	269	269.0	269	269.0	269.0	269.0	0	269	1	59.44	51.33	6.46	44.47	0
SRR5098669.2.fastq.gz	FASTQ	DNA	18867	5075225	269	269.0	270	269.0	269.0	269.0	0	269	2	55.93	48.52	5.87	39.91	0
SRR5098671.2.fastq.gz	FASTQ	DNA	15398	4142066	269	269.0	270	269.0	269.0	269.0	0	269	2	53.38	46.06	5.61	38.76	0
SRR5098673.2.fastq.gz	FASTQ	DNA	47502	12778045	269	269.0	270	269.0	269.0	269.0	0	269	2	53.82	46.38	5.66	37.96	0
SRR5098675.2.fastq.gz	FASTQ	DNA	11173	3005538	269	269.0	270	269.0	269.0	269.0	0	269	2	56.78	49.18	6.00	46.44	0
SRR5098676.2.fastq.gz	FASTQ	DNA	4	1076	269	269.0	269	269.0	269.0	269.0	0	269	1	21.93	14.96	3.43	45.82	0
SRR5098677.2.fastq.gz	FASTQ	DNA	2927	787363	269	269.0	269	269.0	269.0	269.0	0	269	1	54.77	47.60	5.75	39.27	0
SRR5098678.2.fastq.gz	FASTQ	DNA	3710	997991	269	269.0	270	269.0	269.0	269.0	0	269	2	56.18	48.09	6.09	39.95	0
SRR5098679.2.fastq.gz	FASTQ	DNA	16	4304	269	269.0	269	269.0	269.0	269.0	0	269	1	31.02	24.49	3.85	46.47	0
SRR5098680.2.fastq.gz	FASTQ	DNA	22058	5933603	269	269.0	270	269.0	269.0	269.0	0	269	2	56.13	48.52	6.03	39.92	0
SRR5098681.2.fastq.gz	FASTQ	DNA	9908	2665252	269	269.0	269	269.0	269.0	269.0	0	269	1	55.12	47.76	5.80	39.04	0
SRR5098682.2.fastq.gz	FASTQ	DNA	6592	1773250	269	269.0	270	269.0	269.0	269.0	0	269	2	58.22	50.25	6.15	41.76	0
SRR5098685.2.fastq.gz	FASTQ	DNA	25984	6989699	269	269.0	270	269.0	269.0	269.0	0	269	2	53.45	46.12	5.62	37.98	0
SRR5098686.2.fastq.gz	FASTQ	DNA	4816	1054705	219	219.0	220	219.0	219.0	219.0	0	219	2	88.48	79.74	13.14	47.25	0
SRR5098687.2.fastq.gz	FASTQ	DNA	12610	3392093	269	269.0	270	269.0	269.0	269.0	0	269	2	56.79	48.97	6.12	40.44	0
SRR5098688.2.fastq.gz	FASTQ	DNA	10455	2812396	269	269.0	270	269.0	269.0	269.0	0	269	2	55.91	48.39	5.88	40.47	0
SRR5098689.2.fastq.gz	FASTQ	DNA	51909	13963527	269	269.0	270	269.0	269.0	269.0	0	269	2	54.88	47.32	5.77	38.15	0
SRR5098690.2.fastq.gz	FASTQ	DNA	1810	486890	269	269.0	269	269.0	269.0	269.0	0	269	1	59.56	51.06	6.51	44.02	0
SRR5098693.2.fastq.gz	FASTQ	DNA	1062	285678	269	269.0	269	269.0	269.0	269.0	0	269	1	50.79	43.32	5.39	38.29	0
