file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098725.2.fastq.gz	FASTQ	DNA	50055	10962061	218	219.0	221	219.0	219.0	219.0	0	219	3	89.25	80.99	13.33	44.77	0
SRR5098726.2.fastq.gz	FASTQ	DNA	67526	18164516	268	269.0	270	269.0	269.0	269.0	0	269	2	52.01	44.60	5.49	38.03	0
SRR5098727.2.fastq.gz	FASTQ	DNA	33292	8955559	269	269.0	270	269.0	269.0	269.0	0	269	2	58.51	51.67	6.14	47.36	0
SRR5098728.2.fastq.gz	FASTQ	DNA	6071	1633101	269	269.0	270	269.0	269.0	269.0	0	269	2	55.87	48.57	5.86	46.66	0
SRR5098729.2.fastq.gz	FASTQ	DNA	4852	1305190	269	269.0	270	269.0	269.0	269.0	0	269	2	56.07	47.94	6.08	52.49	0
SRR5098730.2.fastq.gz	FASTQ	DNA	1229	330602	269	269.0	270	269.0	269.0	269.0	0	269	2	55.75	47.60	5.92	48.69	0
SRR5098731.2.fastq.gz	FASTQ	DNA	155	41695	269	269.0	269	269.0	269.0	269.0	0	269	1	48.19	40.75	5.13	38.07	0
SRR5098732.2.fastq.gz	FASTQ	DNA	6970	1874931	269	269.0	270	269.0	269.0	269.0	0	269	2	55.09	46.92	5.98	49.95	0
SRR5098733.2.fastq.gz	FASTQ	DNA	44545	11982620	269	269.0	270	269.0	269.0	269.0	0	269	2	53.42	46.12	5.63	39.65	0
SRR5098735.2.fastq.gz	FASTQ	DNA	52808	11564964	218	219.0	220	219.0	219.0	219.0	0	219	2	82.65	75.16	10.56	41.43	0
SRR5098736.2.fastq.gz	FASTQ	DNA	93355	25112519	269	269.0	270	269.0	269.0	269.0	0	269	2	61.70	52.77	6.79	42.35	0
SRR5098737.2.fastq.gz	FASTQ	DNA	60843	16366784	269	269.0	271	269.0	269.0	269.0	0	269	3	61.30	53.84	6.48	44.30	0
SRR5098738.2.fastq.gz	FASTQ	DNA	34023	9152192	269	269.0	270	269.0	269.0	269.0	0	269	2	55.45	48.23	5.84	51.55	0
SRR5098739.2.fastq.gz	FASTQ	DNA	5243	1410371	269	269.0	270	269.0	269.0	269.0	0	269	2	58.90	50.73	6.24	47.00	0
SRR5098740.2.fastq.gz	FASTQ	DNA	12337	3318656	269	269.0	270	269.0	269.0	269.0	0	269	2	55.33	48.42	5.79	53.49	0
SRR5098741.2.fastq.gz	FASTQ	DNA	44121	9662515	219	219.0	220	219.0	219.0	219.0	0	219	2	79.94	72.91	9.77	39.71	0
SRR5098742.2.fastq.gz	FASTQ	DNA	14084	3788597	269	269.0	270	269.0	269.0	269.0	0	269	2	56.08	48.13	6.07	48.80	0
SRR5098743.2.fastq.gz	FASTQ	DNA	1790	481512	269	269.0	270	269.0	269.0	269.0	0	269	2	55.98	48.13	6.05	44.52	0
SRR5098746.2.fastq.gz	FASTQ	DNA	8486	2282736	269	269.0	270	269.0	269.0	269.0	0	269	2	53.75	45.71	5.82	49.30	0
SRR5098747.2.fastq.gz	FASTQ	DNA	3867	1040224	269	269.0	270	269.0	269.0	269.0	0	269	2	52.93	45.56	5.58	37.83	0
SRR5098748.2.fastq.gz	FASTQ	DNA	52191	11429842	218	219.0	220	219.0	219.0	219.0	0	219	2	79.36	72.42	9.62	39.91	0
SRR5098749.2.fastq.gz	FASTQ	DNA	1892	508950	269	269.0	270	269.0	269.0	269.0	0	269	2	56.92	48.55	6.17	46.96	0
SRR5098750.2.fastq.gz	FASTQ	DNA	70592	18989282	268	269.0	271	269.0	269.0	269.0	0	269	3	59.85	51.17	6.35	43.99	0
SRR5098752.2.fastq.gz	FASTQ	DNA	24064	6473226	269	269.0	270	269.0	269.0	269.0	0	269	2	58.29	50.72	6.14	40.95	0
SRR5098753.2.fastq.gz	FASTQ	DNA	38426	10336607	269	269.0	270	269.0	269.0	269.0	0	269	2	53.92	46.45	5.68	39.14	0
SRR5098754.2.fastq.gz	FASTQ	DNA	6	1614	269	269.0	269	269.0	269.0	269.0	0	269	1	28.50	21.13	4.14	48.14	0
SRR5098755.2.fastq.gz	FASTQ	DNA	4308	1158622	22	268.9	287	269.0	269.0	269.0	0	269	2	54.16	47.16	5.69	46.79	0
SRR5098756.2.fastq.gz	FASTQ	DNA	5447	1465244	269	269.0	270	269.0	269.0	269.0	0	269	2	55.75	47.52	6.04	45.26	0
SRR5098757.2.fastq.gz	FASTQ	DNA	2362	635378	269	269.0	269	269.0	269.0	269.0	0	269	1	52.39	44.94	5.53	37.72	0
SRR5098758.2.fastq.gz	FASTQ	DNA	57519	15472630	269	269.0	271	269.0	269.0	269.0	0	269	3	53.59	46.17	5.65	38.21	0
SRR5098759.2.fastq.gz	FASTQ	DNA	19711	5302263	269	269.0	271	269.0	269.0	269.0	0	269	3	52.89	45.43	5.58	38.46	0
SRR5098761.2.fastq.gz	FASTQ	DNA	43537	11711465	268	269.0	270	269.0	269.0	269.0	0	269	2	54.12	46.71	5.70	39.24	0
SRR5098762.2.fastq.gz	FASTQ	DNA	2326	625694	269	269.0	269	269.0	269.0	269.0	0	269	1	49.35	42.23	5.27	50.02	0
SRR5098764.2.fastq.gz	FASTQ	DNA	7243	1948374	269	269.0	270	269.0	269.0	269.0	0	269	2	54.23	47.07	5.70	53.15	0
SRR5098765.2.fastq.gz	FASTQ	DNA	41547	11176161	269	269.0	270	269.0	269.0	269.0	0	269	2	53.64	45.26	5.85	44.95	0
SRR5098767.2.fastq.gz	FASTQ	DNA	86653	23309692	268	269.0	271	269.0	269.0	269.0	0	269	3	58.84	52.05	6.17	46.72	0
SRR5098768.2.fastq.gz	FASTQ	DNA	14473	3893244	269	269.0	270	269.0	269.0	269.0	0	269	2	55.16	47.23	5.96	40.06	0
SRR5098769.2.fastq.gz	FASTQ	DNA	19020	5116389	268	269.0	270	269.0	269.0	269.0	0	269	2	54.32	47.12	5.71	45.26	0
SRR5098770.2.fastq.gz	FASTQ	DNA	4276	1150247	269	269.0	270	269.0	269.0	269.0	0	269	2	55.08	46.70	6.00	52.01	0
SRR5098771.2.fastq.gz	FASTQ	DNA	1497	402693	269	269.0	269	269.0	269.0	269.0	0	269	1	62.96	55.48	6.63	39.48	0
SRR5098772.2.fastq.gz	FASTQ	DNA	12676	3409846	269	269.0	270	269.0	269.0	269.0	0	269	2	54.84	47.86	5.75	52.72	0
SRR5098773.2.fastq.gz	FASTQ	DNA	5081	1366793	269	269.0	270	269.0	269.0	269.0	0	269	2	52.99	44.53	5.78	43.60	0
SRR5098775.2.fastq.gz	FASTQ	DNA	4	1076	269	269.0	269	269.0	269.0	269.0	0	269	1	29.65	24.07	3.93	53.81	0
SRR5098776.2.fastq.gz	FASTQ	DNA	15881	4271771	46	269.0	270	269.0	269.0	269.0	0	269	2	51.03	43.41	5.56	51.86	0
SRR5098777.2.fastq.gz	FASTQ	DNA	4477	1204315	269	269.0	270	269.0	269.0	269.0	0	269	2	53.97	46.82	5.68	46.87	0
SRR5098778.2.fastq.gz	FASTQ	DNA	1790	481510	269	269.0	269	269.0	269.0	269.0	0	269	1	63.84	55.11	7.08	44.06	0
SRR5098779.2.fastq.gz	FASTQ	DNA	30444	8189512	268	269.0	270	269.0	269.0	269.0	0	269	2	57.21	49.80	6.03	45.33	0
SRR5098780.2.fastq.gz	FASTQ	DNA	11072	2978368	269	269.0	269	269.0	269.0	269.0	0	269	1	50.86	43.62	5.40	53.47	0
SRR5098781.2.fastq.gz	FASTQ	DNA	3265	878287	269	269.0	270	269.0	269.0	269.0	0	269	2	59.29	50.76	6.47	49.44	0
SRR5098782.2.fastq.gz	FASTQ	DNA	6228	1675332	269	269.0	269	269.0	269.0	269.0	0	269	1	58.86	50.35	6.40	42.26	0
