"","SRR5098354","SRR5098355","SRR5098356","SRR5098360","SRR5098363","SRR5098370","SRR5098404","SRR5098423","SRR5098440","SRR5098470","SRR5098474","SRR5098491","SRR5098511","SRR5098515","SRR5098524","SRR5098533","SRR5098555","SRR5098588","SRR5098686","SRR5098703","SRR5098712","SRR5098725","SRR5098735","SRR5098741","SRR5098748"
"p__Anthophyta",556,0,1284,8392,1588,470,1919,0,22216,7494,2214,6487,48,3718,12593,868,0,2108,12731,840,8122,0,495,447,270
"p__Chlorophyta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,201
