"","x"
"SRR5098759",19690
"SRR5098761",45075
"SRR5098762",3947
"SRR5098764",21007
"SRR5098765",50078
"SRR5098767",86438
"SRR5098768",14586
"SRR5098769",20643
"SRR5098770",4426
"SRR5098771",1499
"SRR5098772",17550
"SRR5098773",4988
"SRR5098775",1058
"SRR5098776",14197
"SRR5098777",4853
"SRR5098778",782
"SRR5098779",33108
"SRR5098780",11637
"SRR5098781",2116
"SRR5098782",6670
