"","SRR5098356","SRR5098404","SRR5098440","SRR5098470","SRR5098491","SRR5098515","SRR5098524","SRR5098555","SRR5098588","SRR5098703","SRR5098712","SRR5098748"
"g__Cladosporium",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,5.58244428041785,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Zalaria",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,6.50307322166961,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Zasmidium",-0.834732411049169,-1.3254422025106,3.73539969046281,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Elsinoe",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,4.55772457440825,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Didymella",-0.834732411049169,-1.3254422025106,5.06641485585793,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Alternaria",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,5.14364600211769,4.4037892840762,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Spissiomyces",-0.834732411049169,4.52099657254713,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Sarcinomyces",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,8.33918168242088,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Exophiala",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,5.59104688858191,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Aspergillus",-0.834732411049169,-1.3254422025106,-1.41209478635064,8.33312248950741,5.71973096197211,-1.60979191648009,5.92020163901043,5.40697663714901,4.33250800412702,6.84638161609621,-1.34841363851474,3.68096770442287
"g__Penicillium",4.69865707767835,7.64930241021214,6.36149968100956,-0.287349051362325,-1.35014316648646,5.63586315111444,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,4.93450257569682
"g__Talaromyces",-0.834732411049169,-1.3254422025106,4.98483486886551,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,-0.978217761848712,4.70969833376702,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Geotrichum",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,2.48596357007969
"g__Pichia",-0.834732411049169,5.46802393006941,-1.41209478635064,-0.287349051362325,-1.35014316648646,5.5314532058704,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,3.17911075063964
"g__Kazachstania",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,5.86067528698576,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,5.47269383374173,-1.53938812065545
"g__Nakaseomyces",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,3.90735220554132,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Saccharomyces",8.26813410262178,4.68582497189356,8.1900849501519,-0.287349051362325,-1.35014316648646,-1.60979191648009,6.20305596453885,-0.978217761848712,7.77059237559623,5.69080110901453,8.20125203906506,9.29826937384207
"g__Zygosaccharomyces",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,-0.978217761848712,4.33250800412702,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Candida",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,5.56569408371608,-1.28426309353955,5.8517141284193,7.20780793986898,-1.53938812065545
"g__Hanseniaspora",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,8.41494940592722,-1.53938812065545
"g__Saccharomycodes",-0.834732411049169,4.46451796838666,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Stenocarpella",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,4.4701412786155,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Acremonium",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,3.88995750829899
"g__Fusarium",4.65832903229138,5.02194700714541,-1.41209478635064,-0.287349051362325,-1.35014316648646,4.28185229534568,4.22040333122646,-0.978217761848712,-1.28426309353955,6.75856150473173,-1.34841363851474,-1.53938812065545
"g__Sarocladium",4.07792247468688,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Sertulicium",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,-1.52579985931369,6.12180940478055,4.87905171049509,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Malassezia",-0.834732411049169,-1.3254422025106,5.55204082606761,-0.287349051362325,4.82155743092445,-1.60979191648009,5.95856878397244,-0.978217761848712,4.79795581683689,-0.967209936856222,-1.34841363851474,2.92651999799913
"g__Cystofilobasidium",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,1.79140546518206,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"g__Wallemia",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,4.00333618990798,-1.52579985931369,-0.978217761848712,-1.28426309353955,-0.967209936856222,-1.34841363851474,-1.53938812065545
"Unknown",-0.834732411049169,-1.3254422025106,-1.41209478635064,-0.287349051362325,-1.35014316648646,-1.60979191648009,2.80493348097264,-0.978217761848712,-1.28426309353955,-0.967209936856222,4.41363774426544,3.4712471734408
