"","SRR5098354","SRR5098355","SRR5098356","SRR5098360","SRR5098363","SRR5098370","SRR5098404","SRR5098423","SRR5098440","SRR5098470","SRR5098474","SRR5098491","SRR5098511","SRR5098515","SRR5098524","SRR5098533","SRR5098555","SRR5098588","SRR5098686","SRR5098703","SRR5098712","SRR5098725","SRR5098735","SRR5098741","SRR5098748"
"g__Alternaria",0,0,0,307,41,0,0,694,0,0,0,0,0,856,375,0,0,0,0,0,0,0,0,0,0
"g__Aspergillus",196,0,0,0,0,0,0,513,0,5543,0,1175,0,0,1712,0,592,274,0,2473,0,0,150,0,184
"g__Candida",0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,742,694,0,0,914,5198,0,0,8,0
"g__Cladosporium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,0,0,0,516,0,0,0,0,0,0
"g__Clavispora",0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0
"g__Fusarium",0,0,242,0,0,0,570,0,0,0,0,0,0,361,312,0,0,0,0,2265,0,0,0,0,0
"g__Kazachstania",0,0,0,0,32,0,0,0,0,0,0,1353,0,0,0,0,0,0,0,0,916,0,0,0,0
"g__Malassezia",378,0,0,474,0,369,0,0,1057,0,0,478,61,0,1779,431,0,437,0,0,0,289,28,0,86
"g__Penicillium",0,0,252,0,31,0,7900,0,2376,0,0,0,0,1401,0,0,0,0,0,0,0,0,88,160,647
"g__Pichia",0,0,0,0,0,0,891,0,0,0,0,0,0,1262,0,0,0,0,462,0,0,0,0,0,111
"g__Saccharomyces",0,1010,8980,0,390,0,407,557,14796,0,0,0,0,0,2272,0,0,8559,0,778,14039,998,0,2474,50901
"g__Sarocladium",0,245,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Sertulicium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,474,0,0,0,0,0,0,0
"g__Talaromyces",0,0,0,0,141,0,0,0,599,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0
"g__Vishniacozyma",134,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Yarrowia",460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"g__Zasmidium",0,0,0,0,0,0,0,0,171,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other",0,383,0,407,70,1141,671,0,650,0,864,3797,42,1214,0,0,11129,274,357,0,17384,0,201,0,282
"Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,503,0,317,0,0,0,149
