"","SRR5098354","SRR5098355","SRR5098356","SRR5098360","SRR5098363","SRR5098370","SRR5098404","SRR5098423","SRR5098440","SRR5098470","SRR5098474","SRR5098491","SRR5098511","SRR5098515","SRR5098524","SRR5098533","SRR5098555","SRR5098588","SRR5098686","SRR5098703","SRR5098712","SRR5098725","SRR5098735","SRR5098741","SRR5098748"
"g__Alternaria",-1.4674417782805,-1.11356887297674,-2.08683102762292,4.23804296952254,1.23438739682389,-1.07950328298785,-2.88642712249051,4.42816055410087,-3.12071498887944,-0.718372628405812,-0.596737158888692,-2.39121858922616,-0.657361208394888,3.90889777891918,2.11508949510567,-1.05659346941349,-1.86248238133464,-2.78054549066688,-1.59444864148443,-2.41802484214055,-3.37103409628684,-1.04805297513576,-1.59246513556144,-1.25771871811029,-3.53103276646811
"g__Aspergillus",3.81576195045748,-1.11356887297674,-2.08683102762292,-1.49205681345103,-2.50328222145947,-1.07950328298785,-2.88642712249051,4.12647197399124,-3.12071498887944,7.90209891246393,-0.596737158888692,4.67865553923241,-0.657361208394888,-2.8445401396786,3.63150185003989,-1.05659346941349,4.52271201766308,2.83622560699969,-1.59444864148443,5.39556671081188,-3.37103409628684,-1.04805297513576,3.42481470125349,-1.25771871811029,1.68932305861022
"g__Candida",-1.4674417782805,-1.11356887297674,-2.08683102762292,-1.49205681345103,1.10763569118475,-1.07950328298785,-2.88642712249051,-2.11575129146393,-3.12071498887944,-0.718372628405812,-0.596737158888692,-2.39121858922616,-0.657361208394888,-2.8445401396786,-3.81449964828423,5.55410257530427,4.68142946423015,-2.78054549066688,-1.59444864148443,4.40089922313497,5.18518748209687,-1.04805297513576,-1.59246513556144,0.93950585922593,-3.53103276646811
"g__Fusarium",-1.4674417782805,-1.11356887297674,3.40623041571763,-1.49205681345103,-2.50328222145947,-1.07950328298785,3.4609620871655,-2.11575129146393,-3.12071498887944,-0.718372628405812,-0.596737158888692,-2.39121858922616,-0.657361208394888,3.04710407214717,1.93170354225593,-1.05659346941349,-1.86248238133464,-2.78054549066688,-1.59444864148443,5.3077465994474,-3.37103409628684,-1.04805297513576,-1.59246513556144,-1.25771871811029,-3.53103276646811
"g__Kazachstania",-1.4674417782805,-1.11356887297674,-2.08683102762292,-1.49205681345103,0.993225340007007,-1.07950328298785,-2.88642712249051,-2.11575129146393,-3.12071498887944,-0.718372628405812,-0.596737158888692,4.81959986424606,-0.657361208394888,-2.8445401396786,-3.81449964828423,-1.05659346941349,-1.86248238133464,-2.78054549066688,-1.59444864148443,-2.41802484214055,3.45007337596962,-1.04805297513576,-1.59246513556144,-1.25771871811029,-3.53103276646811
"g__Malassezia",4.47009442680192,-1.11356887297674,-2.08683102762292,4.67125799058361,-2.50328222145947,4.83399972265042,-2.88642712249051,-2.11575129146393,3.8434206235388,-0.718372628405812,-0.596737158888692,3.78048200818475,3.4697731766502,-2.8445401396786,3.6698689950019,5.01183211883062,-1.86248238133464,3.30167341970956,-1.59444864148443,-2.41802484214055,-3.37103409628684,4.62182794784476,1.77483069442504,-1.25771871811029,0.934875352186476
"g__Penicillium",-1.4674417782805,-1.11356887297674,3.4465584611046,-1.49205681345103,0.962453681340253,-1.07950328298785,6.08831749023223,-2.11575129146393,4.65287947848075,-0.718372628405812,-0.596737158888692,-2.39121858922616,-0.657361208394888,4.40111492791593,-3.81449964828423,-1.05659346941349,-1.86248238133464,-2.78054549066688,-1.59444864148443,-2.41802484214055,-3.37103409628684,-1.04805297513576,2.8961712341707,3.82368564687417,2.94285792988417
"g__Pichia",-1.4674417782805,-1.11356887297674,-2.08683102762292,-1.49205681345103,-2.50328222145947,-1.07950328298785,3.9070390100895,-2.11575129146393,-3.12071498887944,-0.718372628405812,-0.596737158888692,-2.39121858922616,-0.657361208394888,4.29670498267189,-3.81449964828423,-1.05659346941349,-1.86248238133464,-2.78054549066688,4.54327841260181,-2.41802484214055,-3.37103409628684,-1.04805297513576,-1.59246513556144,-1.25771871811029,1.18746610482699
"g__Saccharomyces",-1.4674417782805,5.80512634604373,7.01603548604803,-1.49205681345103,3.46542533852589,-1.07950328298785,3.12484005191366,4.20860767091738,6.48146474762309,-0.718372628405812,-0.596737158888692,-2.39121858922616,-0.657361208394888,-2.8445401396786,3.91435617556832,-1.05659346941349,-1.86248238133464,6.2743099784689,-1.59444864148443,4.23998620373019,6.17863158129296,5.8587018035128,-1.59246513556144,6.5562769568925,7.30662472802941
"g__Talaromyces",-1.4674417782805,-1.11356887297674,-2.08683102762292,-1.49205681345103,2.45254483614179,-1.07950328298785,-2.88642712249051,-2.11575129146393,3.2762146663367,-0.718372628405812,-0.596737158888692,-2.39121858922616,-0.657361208394888,-2.8445401396786,-3.81449964828423,-1.05659346941349,-1.86248238133464,3.21341593663969,-1.59444864148443,-2.41802484214055,-3.37103409628684,-1.04805297513576,-1.59246513556144,-1.25771871811029,-3.53103276646811
"Other",4.92111962726513,5.3305623837237,2.82582385811313,4.51921036095313,2.30073882327378,5.9610331072281,3.62383121803264,4.16277013270192,3.59102540617674,-0.718372628405812,6.56410874777561,5.85101130214607,3.10383890729867,4.25795921609605,3.29374449144732,-1.05659346941349,7.55819995011854,3.83819349285034,5.17863173417111,-2.41802484214055,6.39232894815512,-1.04805297513576,4.64390445464227,-1.25771871811029,2.11441413117513
"Unknown",-1.4674417782805,-1.11356887297674,-2.08683102762292,-1.49205681345103,-2.50328222145947,-1.07950328298785,-2.88642712249051,-2.11575129146393,-3.12071498887944,-0.718372628405812,-0.596737158888692,-2.39121858922616,-0.657361208394888,-2.8445401396786,0.516233692002105,-1.05659346941349,-1.86248238133464,-2.78054549066688,4.62812762658694,-2.41802484214055,2.39101728649333,-1.04805297513576,-1.59246513556144,-1.25771871811029,1.47960252762815
