"","SRR5098354","SRR5098355","SRR5098356","SRR5098360","SRR5098363","SRR5098370","SRR5098404","SRR5098423","SRR5098440","SRR5098470","SRR5098474","SRR5098491","SRR5098511","SRR5098515","SRR5098524","SRR5098533","SRR5098555","SRR5098588","SRR5098686","SRR5098703","SRR5098712","SRR5098725","SRR5098735","SRR5098741","SRR5098748"
"g__Aplosporella",-0.483900277288163,-0.444254640958276,-0.544390702858154,-0.449954125453367,-0.78725921403047,-0.281609552083788,-0.864418827724302,-0.551935119512329,-0.92093138240259,-0.187401555236299,-0.390185212637728,-0.88052815205639,-0.171485532624753,-1.04986429335658,-0.995086864769798,-0.275633078977432,-0.637968105553508,-0.837562887091013,-0.53236693876232,-0.630789089254058,-0.87940019903135,-0.273405123948458,4.12003131232893,-0.328100535159206,-1.00394877434051
"g__Cladosporium",-0.483900277288163,-0.444254640958276,-0.544390702858154,-0.449954125453367,-0.78725921403047,-0.281609552083788,-0.864418827724302,-0.551935119512329,-0.92093138240259,-0.187401555236299,-0.390185212637728,-0.88052815205639,-0.171485532624753,-1.04986429335658,6.11315727496174,-0.275633078977432,-0.637968105553508,-0.837562887091013,5.71567593574611,-0.630789089254058,-0.87940019903135,-0.273405123948458,-0.675759233267807,-0.328100535159206,-1.00394877434051
"g__Zalaria",-0.483900277288163,-0.444254640958276,-0.544390702858154,-0.449954125453367,-0.78725921403047,-0.281609552083788,-0.864418827724302,-0.551935119512329,-0.92093138240259,-0.187401555236299,-0.390185212637728,6.97268823609968,-0.171485532624753,-1.04986429335658,-0.995086864769798,-0.275633078977432,-0.637968105553508,-0.837562887091013,-0.53236693876232,-0.630789089254058,-0.87940019903135,-0.273405123948458,-0.675759233267807,-0.328100535159206,-1.00394877434051
"g__Zasmidium",-0.483900277288163,-0.444254640958276,-0.544390702858154,-0.449954125453367,-0.78725921403047,-0.281609552083788,-0.864418827724302,-0.551935119512329,4.22656309441086,-0.187401555236299,5.65954824259423,-0.88052815205639,-0.171485532624753,-1.04986429335658,-0.995086864769798,-0.275633078977432,-0.637968105553508,-0.837562887091013,-0.53236693876232,-0.630789089254058,-0.87940019903135,-0.273405123948458,-0.675759233267807,-0.328100535159206,-1.00394877434051
"g__Neodevriesia",-0.483900277288163,-0.444254640958276,-0.544390702858154,-0.449954125453367,-0.78725921403047,-0.281609552083788,-0.864418827724302,-0.551935119512329,-0.92093138240259,-0.187401555236299,6.0618637417995,-0.88052815205639,-0.171485532624753,-1.04986429335658,-0.995086864769798,-0.275633078977432,-0.637968105553508,-0.837562887091013,-0.53236693876232,-0.630789089254058,-0.87940019903135,-0.273405123948458,-0.675759233267807,-0.328100535159206,-1.00394877434051
"g__Elsinoe",-0.483900277288163,-0.444254640958276,-0.544390702858154,-0.449954125453367,-0.78725921403047,-0.281609552083788,-0.864418827724302,-0.551935119512329,-0.92093138240259,-0.187401555236299,-0.390185212637728,-0.88052815205639,-0.171485532624753,5.11765219753176,-0.995086864769798,-0.275633078977432,-0.637968105553508,-0.837562887091013,-0.53236693876232,-0.630789089254058,-0.87940019903135,-0.273405123948458,-0.675759233267807,-0.328100535159206,-1.00394877434051
"g__Nothophaeotheca",-0.483900277288163,-0.444254640958276,-0.544390702858154,-0.449954125453367,-0.78725921403047,6.75892683813217,-0.864418827724302,-0.551935119512329,-0.92093138240259,-0.187401555236299,-0.390185212637728,-0.88052815205639,-0.171485532624753,-1.04986429335658,-0.995086864769798,-0.275633078977432,-0.637968105553508,-0.837562887091013,-0.53236693876232,-0.630789089254058,-0.87940019903135,-0.273405123948458,-0.675759233267807,-0.328100535159206,-1.00394877434051
"g__Allophoma",-0.483900277288163,-0.444254640958276,-0.544390702858154,-0.449954125453367,-0.78725921403047,-0.281609552083788,-0.864418827724302,-0.551935119512329,-0.92093138240259,-0.187401555236299,-0.390185212637728,-0.88052815205639,-0.171485532624753,-1.04986429335658,-0.995086864769798,-0.275633078977432,-0.637968105553508,-0.837562887091013,-0.53236693876232,-0.630789089254058,-0.87940019903135,-0.273405123948458,3.73096001399645,-0.328100535159206,-1.00394877434051
"g__Didymella",-0.483900277288163,-0.444254640958276,-0.544390702858154,-0.449954125453367,-0.78725921403047,-0.281609552083788,-0.864418827724302,-0.551935119512329,5.55757825980598,-0.187401555236299,-0.390185212637728,-0.88052815205639,-0.171485532624753,-1.04986429335658,-0.995086864769798,-0.275633078977432,-0.637968105553508,-0.837562887091013,-0.53236693876232,-0.630789089254058,-0.87940019903135,-0.273405123948458,-0.675759233267807,-0.328100535159206,-1.00394877434051
"g__Didymocyrtis",-0.483900277288163,-0.444254640958276,-0.544390702858154,-0.449954125453367,2.34823500189868,-0.281609552083788,-0.864418827724302,-0.551935119512329,-0.92093138240259,-0.187401555236299,-0.390185212637728,-0.88052815205639,-0.171485532624753,-1.04986429335658,-0.995086864769798,-0.275633078977432,-0.637968105553508,-0.837562887091013,-0.53236693876232,-0.630789089254058,-0.87940019903135,-0.273405123948458,-0.675759233267807,-0.328100535159206,-1.00394877434051
