"","x"
"SRR5098759",22314
"SRR5098761",53994
"SRR5098762",3947
"SRR5098764",21468
"SRR5098765",51240
"SRR5098767",86438
"SRR5098768",15188
"SRR5098769",20643
"SRR5098770",6267
"SRR5098771",1499
"SRR5098772",17550
"SRR5098773",5696
"SRR5098775",1058
"SRR5098776",46591
"SRR5098777",5825
"SRR5098778",782
"SRR5098779",33936
"SRR5098780",15171
"SRR5098781",3863
"SRR5098782",7215
