"","Kingdom","Phylum","Class","Order","Family","Genus","unique"
"g__Vicia","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Vicia","g__Vicia"
"g__Corylus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Betulaceae","g__Corylus","g__Corylus"
"g__Quercus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Fagaceae","g__Quercus","g__Quercus"
"g__Carya","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Carya","g__Carya"
"g__Juglans","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Juglans","g__Juglans"
"g__Lamiaceae_gen_Incertae_sedis","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Lamiaceae_gen_Incertae_sedis","g__Lamiaceae_gen_Incertae_sedis"
"g__Melissa","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Melissa","g__Melissa"
"g__Ocimum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Ocimum","g__Ocimum"
"g__Fraxinus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Oleaceae","g__Fraxinus","g__Fraxinus"
"g__Sesamum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Pedaliaceae","g__Sesamum","g__Sesamum"
"g__Linum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Malpighiales","f__Linaceae","g__Linum","g__Linum"
"g__Corchorus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Malvales","f__Malvaceae","g__Corchorus","g__Corchorus"
"g__Gossypium","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Malvales","f__Malvaceae","g__Gossypium","g__Gossypium"
"g__Punica","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Lythraceae","g__Punica","g__Punica"
"g__Eucalyptus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Myrtaceae","g__Eucalyptus","g__Eucalyptus"
"g__Psidium","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Myrtaceae","g__Psidium","g__Psidium"
"g__Oenothera","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Onagraceae","g__Oenothera","g__Oenothera"
"g__Macadamia","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Proteales","f__Proteaceae","g__Macadamia","g__Macadamia"
"g__Celtis","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Cannabaceae","g__Celtis","g__Celtis"
"g__Fragaria","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Fragaria","g__Fragaria"
"g__Prunus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","g__Prunus"
"g__Rubus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","g__Rubus"
"g__Ulmus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Ulmaceae","g__Ulmus","g__Ulmus"
"g__Urtica","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Urticaceae","g__Urtica","g__Urtica"
"g__Anacardium","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Anacardium","g__Anacardium"
"g__Mangifera","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Mangifera","g__Mangifera"
"g__Pistacia","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Pistacia","g__Pistacia"
"g__Citrus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","g__Citrus"
"g__Convolvulus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Convolvulus","g__Convolvulus"
"g__Ipomoea","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Ipomoea","g__Ipomoea"
