"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098332",8,8,0,NA,NA,1.74070890505532,0.780601595051914,4.55791827764938,0.898957068242321
"SRR5098333",9,9,0,NA,NA,1.47753340271703,0.63518389108694,2.74110702781031,0.944787929550364
"SRR5098339",7,7,0,NA,NA,1.62230605298708,0.754889296038103,4.07978918846177,0.808658764021332
"SRR5098340",1,1,0,NA,NA,0,0,1,0.10789242999962
"SRR5098341",14,14,0,NA,NA,0.597071627800705,0.240445571316243,1.31656134469904,1.16664409148157
"SRR5098343",18,18,0,NA,NA,2.17322721759185,0.831235308097142,5.92541004119276,1.75878594967582
"SRR5098346",8,8,0,NA,NA,1.63398549032053,0.750877678295011,4.01409232683774,0.76173464910493
"SRR5098348",3,3,0,NA,NA,1.08443377296631,0.65688412056319,2.91446726872974,0.29468210477235
"SRR5098349",8,8,0,NA,NA,1.24470980096723,0.583812318395894,2.40276212920506,0.748911188970335
"SRR5098351",12,12,0,NA,NA,1.00078171582461,0.4910718564742,1.96491393278451,1.0577149230516
"SRR5098357",6,6,0,NA,NA,1.51280026385435,0.750349922089968,4.00560660093355,0.624610566217604
"SRR5098359",5,5,0,NA,NA,0.0951931073425321,0.030641471028003,1.03161004944218,0.41442259339963
"SRR5098361",3,3,0,NA,NA,0.484400435904838,0.24149402165054,1.31838117107006,0.266963308898363
"SRR5098364",8,8,0,NA,NA,0.894280095345932,0.380014257169676,1.61294031607059,0.740776158086887
"SRR5098366",10,10,0,NA,NA,0.734010805108585,0.356783374657486,1.55468618285091,0.931170526179926
"SRR5098367",14,14,0,NA,NA,0.628363597655709,0.27609392651701,1.38139468175563,1.25884334981536
"SRR5098368",4,4,0,NA,NA,1.03258159055719,0.584725043031906,2.40804311269083,0.378604257954408
"SRR5098369",13,13,0,NA,NA,1.49809614097102,0.684956861266092,3.1741684774307,1.33020270858823
"SRR5098371",19,19,0,NA,NA,1.19660573366701,0.590114774940177,2.43970735918585,1.63324175953907
"SRR5098372",9,9,0,NA,NA,1.33259769033716,0.556505049451209,2.25481710392097,0.914180672236044
"SRR5098373",12,12,0,NA,NA,1.95143416566615,0.804039567820827,5.10307100713916,1.24334857663945
"SRR5098374",10,10,0,NA,NA,1.24380978212912,0.516013702296546,2.06617419696604,1.13750591878219
"SRR5098375",7,7,0,NA,NA,0.851374811026562,0.373326273895897,1.59572670489441,0.651154265492479
"SRR5098376",7,7,0,NA,NA,1.90210273764594,0.844615630501686,6.43565374837044,0.707480759172487
"SRR5098377",14,14,0,NA,NA,2.00064361844659,0.819702069670308,5.54637536976383,1.38419249640752
"SRR5098378",12,12,0,NA,NA,2.15657268273441,0.844523064717984,6.43182217469184,1.19127216345853
"SRR5098379",2,2,0,NA,NA,0.688692314281717,0.495551752939436,1.98236391111879,0.20159193215677
"SRR5098380",3,3,0,NA,NA,1.06582140960394,0.64563614744352,2.82195825783504,0.466243275941788
"SRR5098382",2,2,0,NA,NA,0.637950252329004,0.445826369319597,1.80448860183445,0.207409029115537
"SRR5098383",1,1,0,NA,NA,0,0,1,0.106316697419187
"SRR5098384",17,17,0,NA,NA,1.02243065163128,0.428022599392897,1.74832082340769,1.57394906599327
"SRR5098385",4,4,0,NA,NA,0.232511269862902,0.0888411949169169,1.09750352454621,0.353515891113531
"SRR5098386",7,7,0,NA,NA,0.855913981362486,0.377016648668805,1.60517933242228,0.706473118989315
"SRR5098388",11,11,0,NA,NA,1.16519443741191,0.515401539096911,2.06356412716709,1.01086825705972
"SRR5098389",28,28,0,NA,NA,1.08310428829715,0.360925898019456,1.56476376824052,2.89092677536845
"SRR5098390",23,23,0,NA,NA,2.40665999613641,0.869319424109676,7.65224665706452,2.23658669040731
"SRR5098392",10,10,0,NA,NA,1.65959284394049,0.744335975702436,3.91138331936806,0.979538823411902
"SRR5098393",16,16,0,NA,NA,1.93972689387949,0.778284543695476,4.51028546528803,1.64006910049254
"SRR5098394",23,23,0,NA,NA,0.953381044790813,0.358202875228811,1.55812477401876,2.13507183942444
