"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV949","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Mangifera","s__indica"
"PRJNA356769_ITS2_ASV121","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Lactuca","s__saligna"
"PRJNA356769_ITS2_ASV131","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Carum","s__proliferum"
"PRJNA356769_ITS2_ASV14","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Ericales","f__Ericaceae","g__Vaccinium","s__hirsutum"
"PRJNA356769_ITS2_ASV353","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Spinacia","s__oleracea"
"PRJNA356769_ITS2_ASV143","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbitaceae_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV152","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Zea","s__perennis"
"PRJNA356769_ITS2_ASV156","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769_ITS2_ASV163","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Aegilops","s__comosa"
"PRJNA356769_ITS2_ASV174","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769_ITS2_ASV177","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Rutheopsis","s__tortuosa"
"PRJNA356769_ITS2_ASV180","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
