"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV923","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV926","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV928","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae",NA,NA
"PRJNA356769_ITS2_ASV950","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV957","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Cactaceae",NA,NA
"PRJNA356769_ITS2_ASV967","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Spinacia","s__oleracea"
"PRJNA356769_ITS2_ASV97","k__Viridiplantae","p__Chlorophyta","c__Chlorophyceae","o__Chlamydomonadales","f__Coccomyxaceae","g__Choricystis","s__parasitica"
"PRJNA356769_ITS2_ASV974","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Cannabaceae","g__Celtis",NA
"PRJNA356769_ITS2_ASV98","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Capsicum","s__annuum"
"PRJNA356769_ITS2_ASV994","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV997","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanum","s__huayavillense"
