"","SRR5098356","SRR5098404","SRR5098440","SRR5098470","SRR5098491","SRR5098515","SRR5098524","SRR5098555","SRR5098588","SRR5098703","SRR5098712","SRR5098748"
"p__Ascomycota",9609,10439,18592,5543,6325,4792,5967,12415,9507,6430,37854,52125
"p__Basidiomycota",0,0,1057,0,478,302,1779,1211,911,0,0,235
