"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769a_ITS2_ASV37","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Carya","s__kweichowensis"
"PRJNA356769a_ITS2_ASV39","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Glycine","s__soja"
"PRJNA356769a_ITS2_ASV41","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769a_ITS2_ASV42","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","s__pepo"
"PRJNA356769a_ITS2_ASV51","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanaceae_gen_Incertae_sedis",NA
"PRJNA356769a_ITS2_ASV52","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__maxima"
"PRJNA356769a_ITS2_ASV54","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","s__rhamnifolius"
"PRJNA356769a_ITS2_ASV58","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Zea","s__perennis"
"PRJNA356769a_ITS2_ASV59","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae",NA,NA
"PRJNA356769a_ITS2_ASV6","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Carya",NA
"PRJNA356769a_ITS2_ASV63","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769a_ITS2_ASV64","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Sinapis","s__alba"
"PRJNA356769a_ITS2_ASV66","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae",NA,NA
"PRJNA356769a_ITS2_ASV69","k__Viridiplantae","p__Chlorophyta","c__Chlorophyceae","o__Chlamydomonadales","f__Coccomyxaceae","g__Choricystis","s__parasitica"
"PRJNA356769a_ITS2_ASV70","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Capsicum","s__annuum"
"PRJNA356769a_ITS2_ASV78","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Lythraceae","g__Punica","s__granatum"
"PRJNA356769a_ITS2_ASV86","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__insularis"
"PRJNA356769a_ITS2_ASV9","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Convolvulus","s__arvensis"
"PRJNA356769a_ITS2_ASV95","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Pimpinella","s__olivieri"
"PRJNA356769a_ITS2_ASV96","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Ulmaceae","g__Ulmus","s__americana"
"PRJNA356769a_ITS2_ASV98","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","s__maxima"
